model,dataset,seed,kmeans_seed,kmeans_n_init,selected_views,max_samples,sample_strategy,data_size,view,seq_len,feature_dim,high_feature_dim,local_loss_weight,local_chunk_size,pre_epochs,con_epochs,trainable_parameters,total_parameters,best_epoch,acc,nmi,ari,pur
base_scmvc_mlp,har,0,0,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,10330800,10330800,5,0.596000,0.477505,0.404186,0.596000
base_scmvc_mlp,har,0,0,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,10330800,10330800,5,0.596000,0.477505,0.404186,0.596000
tcn,har,0,0,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,4582336,4582336,24,0.667200,0.607290,0.521062,0.667200
lstm,har,0,0,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,1492480,1492480,47,0.708200,0.633648,0.564370,0.708200
base_scmvc_mlp,wisdm,0,0,10,all,5000,stratified,5000,4,200,128,64,0.0,,30,50,14630944,14630944,48,0.297800,0.363369,0.181361,0.314600
base_scmvc_mlp,mhealth,0,0,10,all,5000,stratified,5000,3,50,128,64,0.0,,30,50,10328798,10328798,1,0.472200,0.495821,0.330064,0.509800
base_scmvc_mlp,pamap2,0,0,10,all,5000,stratified,5000,4,50,128,64,0.0,,30,50,14831144,14831144,13,0.447600,0.421575,0.314957,0.504200
tcn,wisdm,0,0,10,all,5000,stratified,5000,4,200,128,64,0.0,,30,50,6314976,6314976,50,0.406600,0.488596,0.294091,0.412400
tcn,mhealth,0,0,10,all,5000,stratified,5000,3,50,128,64,0.0,,30,50,4588990,4588990,4,0.472800,0.509532,0.315491,0.502400
tcn,pamap2,0,0,10,all,5000,stratified,5000,4,50,128,64,0.0,,30,50,6386856,6386856,47,0.453000,0.397746,0.300634,0.470400
lstm,wisdm,0,0,10,all,5000,stratified,5000,4,200,128,64,0.0,,30,50,2195168,2195168,30,0.292000,0.366926,0.153488,0.315200
lstm,mhealth,0,0,10,all,5000,stratified,5000,3,50,128,64,0.0,,30,50,1499134,1499134,39,0.565600,0.610908,0.440312,0.617000
lstm,pamap2,0,0,10,all,5000,stratified,5000,4,50,128,64,0.0,,30,50,2267048,2267048,50,0.441000,0.386143,0.282304,0.457200
