model,dataset,seed,kmeans_seed,kmeans_n_init,selected_views,max_samples,sample_strategy,data_size,view,seq_len,feature_dim,high_feature_dim,local_loss_weight,local_chunk_size,pre_epochs,con_epochs,trainable_parameters,total_parameters,best_epoch,acc,nmi,ari,pur
base_scmvc_mlp,har,1,1,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,10330800,10330800,4,0.600000,0.498437,0.439099,0.608600
tcn,har,1,1,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,4582336,4582336,5,0.659800,0.615292,0.533194,0.660000
lstm,har,1,1,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,1492480,1492480,44,0.722400,0.634672,0.563792,0.722400
base_scmvc_mlp,wisdm,1,1,10,all,5000,stratified,5000,4,200,128,64,0.0,,30,50,14630944,14630944,49,0.322800,0.371367,0.188545,0.337000
tcn,wisdm,1,1,10,all,5000,stratified,5000,4,200,128,64,0.0,,30,50,6314976,6314976,50,0.390400,0.491107,0.275303,0.410600
lstm,wisdm,1,1,10,all,5000,stratified,5000,4,200,128,64,0.0,,30,50,2195168,2195168,39,0.307800,0.384107,0.177362,0.335200
base_scmvc_mlp,mhealth,1,1,10,all,5000,stratified,5000,3,50,128,64,0.0,,30,50,10328798,10328798,42,0.462400,0.520241,0.339150,0.501400
tcn,mhealth,1,1,10,all,5000,stratified,5000,3,50,128,64,0.0,,30,50,4588990,4588990,1,0.512600,0.527162,0.357868,0.543000
lstm,mhealth,1,1,10,all,5000,stratified,5000,3,50,128,64,0.0,,30,50,1499134,1499134,34,0.574200,0.594643,0.423856,0.601000
base_scmvc_mlp,pamap2,1,1,10,all,5000,stratified,5000,4,50,128,64,0.0,,30,50,14831144,14831144,8,0.439800,0.391807,0.300120,0.490800
tcn,pamap2,1,1,10,all,5000,stratified,5000,4,50,128,64,0.0,,30,50,6386856,6386856,39,0.461200,0.410064,0.305430,0.481800
lstm,pamap2,1,1,10,all,5000,stratified,5000,4,50,128,64,0.0,,30,50,2267048,2267048,19,0.377800,0.328449,0.224178,0.436800
base_scmvc_mlp,har,2,2,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,10330800,10330800,8,0.594200,0.471073,0.407520,0.597400
tcn,har,2,2,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,4582336,4582336,2,0.528400,0.524982,0.407537,0.543800
lstm,har,2,2,10,all,5000,stratified,5000,3,128,128,64,0.0,,30,50,1492480,1492480,47,0.732800,0.618476,0.551007,0.732800
base_scmvc_mlp,wisdm,2,2,10,all,5000,stratified,5000,4,200,128,64,0.0,,30,50,14630944,14630944,47,0.284400,0.341262,0.152966,0.296400
tcn,wisdm,2,2,10,all,5000,stratified,5000,4,200,128,64,0.0,,30,50,6314976,6314976,44,0.399200,0.483787,0.296187,0.421000
lstm,wisdm,2,2,10,all,5000,stratified,5000,4,200,128,64,0.0,,30,50,2195168,2195168,47,0.302400,0.381778,0.174615,0.342600
base_scmvc_mlp,mhealth,2,2,10,all,5000,stratified,5000,3,50,128,64,0.0,,30,50,10328798,10328798,34,0.474400,0.507313,0.344461,0.493800
tcn,mhealth,2,2,10,all,5000,stratified,5000,3,50,128,64,0.0,,30,50,4588990,4588990,1,0.501000,0.521128,0.367781,0.538200
lstm,mhealth,2,2,10,all,5000,stratified,5000,3,50,128,64,0.0,,30,50,1499134,1499134,24,0.550200,0.569087,0.401141,0.580400
base_scmvc_mlp,pamap2,2,2,10,all,5000,stratified,5000,4,50,128,64,0.0,,30,50,14831144,14831144,50,0.432800,0.433701,0.315428,0.492400
tcn,pamap2,2,2,10,all,5000,stratified,5000,4,50,128,64,0.0,,30,50,6386856,6386856,49,0.452600,0.404210,0.295725,0.472800
lstm,pamap2,2,2,10,all,5000,stratified,5000,4,50,128,64,0.0,,30,50,2267048,2267048,34,0.468800,0.420017,0.315594,0.489600
