dataset,method,seeds,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,pur_mean,pur_std,parameters
HAR,"Original SCMVC, flattened windows","0,1,2",0.5967,0.0030,0.4823,0.0143,0.4169,0.0193,0.6007,0.0069,10330800
HAR,TCN-SCMVC,"0,1,2",0.6185,0.0781,0.5825,0.0500,0.4873,0.0693,0.6237,0.0693,4582336
HAR,LSTM-SCMVC,"0,1,2",0.7211,0.0123,0.6289,0.0091,0.5597,0.0076,0.7211,0.0123,1492480
WISDM,"Original SCMVC, flattened windows","0,1,2",0.3017,0.0195,0.3587,0.0156,0.1743,0.0188,0.3160,0.0203,14630944
WISDM,TCN-SCMVC,"0,1,2",0.3987,0.0081,0.4878,0.0037,0.2885,0.0115,0.4147,0.0056,6314976
WISDM,LSTM-SCMVC,"0,1,2",0.3007,0.0080,0.3776,0.0093,0.1685,0.0131,0.3310,0.0142,2195168
MHEALTH,"Original SCMVC, flattened windows","0,1,2",0.4697,0.0064,0.5078,0.0122,0.3379,0.0073,0.5017,0.0080,10328798
MHEALTH,TCN-SCMVC,"0,1,2",0.4955,0.0205,0.5193,0.0090,0.3470,0.0278,0.5279,0.0222,4588990
MHEALTH,LSTM-SCMVC,"0,1,2",0.5633,0.0122,0.5915,0.0211,0.4218,0.0197,0.5995,0.0183,1499134
PAMAP2,"Original SCMVC, flattened windows","0,1,2",0.4401,0.0074,0.4157,0.0216,0.3102,0.0087,0.4958,0.0073,14831144
PAMAP2,TCN-SCMVC,"0,1,2",0.4556,0.0049,0.4040,0.0062,0.3006,0.0049,0.4750,0.0060,6386856
PAMAP2,LSTM-SCMVC,"0,1,2",0.4292,0.0466,0.3782,0.0463,0.2740,0.0463,0.4612,0.0266,2267048
